LATITUDE,LONGITUDE,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,DAYNIGHT,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,LEVEL_6,LAND_COVER_ID,LAND_COVER,prior,emp_conf_ev,LCS_80_20,FSI_SUGENO_55_45,FSI_CLASS_SUGENO
1.2832,97.6189,2021/01/01,416,Terra,MODIS,0,6.03,D,Indonesia,Sumatera,Sumatera Utara,Kota Gunungsitoli,Gunungsitoli,Ilir,24,Pemukiman,20,62.770399658500594,28.55407993170012,21.29,Low
-2.2008,101.0151,2021/01/05,353,Terra,MODIS,39,6.03,D,Indonesia,Sumatera,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Kubu Tapan,3,Formasi Hutan,50,55.192681160960845,51.03853623219217,41.65,Moderate
0.143,100.1839,2021/01/05,649,Aqua,MODIS,12,6.03,D,Indonesia,Sumatera,Sumatera Barat,Pasaman,Lubuk Sikaping,Pauah,13,Tumbuhan Non-Hutan Lainnya,75,94.58138150973998,78.916276301948,42.00,Moderate
0.1907,102.7631,2021/01/05,649,Aqua,MODIS,38,6.03,D,Indonesia,Sumatera,Riau,Pelalawan,Teluk Meranti,Teluk Meranti,9,Kebun Kayu,65,93.59817671883116,70.71963534376623,51.78,Moderate
-0.1586,100.0591,2021/01/05,649,Aqua,MODIS,64,6.03,D,Indonesia,Sumatera,Sumatera Barat,Agam,Palembayan,Salareh Aia,13,Tumbuhan Non-Hutan Lainnya,75,94.58138150973998,78.916276301948,69.86,High
0.4207,102.1786,2021/01/05,649,Aqua,MODIS,31,6.03,D,Indonesia,Sumatera,Riau,Pelalawan,Pelalawan,Kuala Tolam,9,Kebun Kayu,65,93.59817671883116,70.71963534376623,43.31,Moderate
0.9273,101.4786,2021/01/05,649,Aqua,MODIS,38,6.03,D,Indonesia,Sumatera,Riau,Siak,Minas,Minas Barat,9,Kebun Kayu,65,93.59817671883116,70.71963534376623,51.78,Moderate
3.6598,98.914,2021/01/05,650,Aqua,MODIS,34,6.03,D,Indonesia,Sumatera,Sumatera Utara,Deli Serdang,Pantai Labu,Paluh Sibaji,24,Pemukiman,20,62.770399658500594,28.55407993170012,26.37,Low
3.6635,98.9176,2021/01/12,656,Aqua,MODIS,41,6.03,D,Indonesia,Sumatera,Sumatera Utara,Deli Serdang,Pantai Labu,Denai Sarang Burung,24,Pemukiman,20,62.770399658500594,28.55407993170012,34.38,Low
-2.2109,101.0689,2021/01/16,630,Aqua,MODIS,54,6.03,D,Indonesia,Sumatera,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Kubu Tapan,21,Pertanian Lainnya,55,79.70139075986529,59.94027815197306,57.94,Moderate
5.2188,97.0684,2021/01/19,703,Aqua,MODIS,62,6.03,D,Indonesia,Sumatera,Aceh,Kota Lhokseumawe,Muara Satu,Meuria Paloh,21,Pertanian Lainnya,55,79.70139075986529,59.94027815197306,61.27,High
1.7221,98.805,2021/01/21,351,Terra,MODIS,40,6.03,D,Indonesia,Sumatera,Sumatera Utara,Tapanuli Tengah,Sarudik,Sarudik,24,Pemukiman,20,62.770399658500594,28.55407993170012,33.29,Low
0.4141,101.8701,2021/01/21,352,Terra,MODIS,0,6.03,D,Indonesia,Sumatera,Riau,Pelalawan,Pangkalan Kerinci,Pangkalan Kerinci Timur,21,Pertanian Lainnya,55,79.70139075986529,59.94027815197306,34.46,Low
0.9765,101.9345,2021/01/21,352,Terra,MODIS,0,6.03,D,Indonesia,Sumatera,Riau,Siak,Siak,Buantan Besar,9,Kebun Kayu,65,93.59817671883116,70.71963534376623,42.00,Moderate
-2.0635,101.3958,2021/01/21,352,Terra,MODIS,58,6.03,D,Indonesia,Sumatera,Jambi,Kota Sungai Penuh,Sungai Penuh,Pasar Sungai Penuh,24,Pemukiman,20,62.770399658500594,28.55407993170012,46.26,Moderate
-4.3728,103.0178,2021/01/21,648,Aqua,MODIS,54,6.03,D,Indonesia,Sumatera,Bengkulu,Bengkulu Selatan,Pino,Ganjuh,13,Tumbuhan Non-Hutan Lainnya,75,94.58138150973998,78.916276301948,65.48,High
-3.2721,101.8339,2021/01/21,648,Aqua,MODIS,56,6.03,D,Indonesia,Sumatera,Bengkulu,Bengkulu Utara,Ketahun,Dusun Raja,21,Pertanian Lainnya,55,79.70139075986529,59.94027815197306,58.59,Moderate
-3.1502,102.0474,2021/01/21,648,Aqua,MODIS,67,6.03,D,Indonesia,Sumatera,Bengkulu,Bengkulu Utara,Napal Putih,Lebong Tandai,3,Formasi Hutan,50,55.192681160960845,51.03853623219217,60.36,High
-2.9119,101.5229,2021/01/21,648,Aqua,MODIS,59,6.03,D,Indonesia,Sumatera,Bengkulu,Muko Muko,Sungai Rumbai,Retak Mudik,3,Formasi Hutan,50,55.192681160960845,51.03853623219217,56.15,Moderate
-1.9275,104.2051,2021/01/21,648,Aqua,MODIS,61,6.03,D,Indonesia,Sumatera,Sumatera Selatan,Musi Banyuasin,Bayung Lencir,Muara Merang,9,Kebun Kayu,65,93.59817671883116,70.71963534376623,68.32,High
-2.1844,100.9431,2021/01/21,648,Aqua,MODIS,78,6.03,D,Indonesia,Sumatera,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Kubu Tapan,13,Tumbuhan Non-Hutan Lainnya,75,94.58138150973998,78.916276301948,80.84,Very High
-2.3005,100.8996,2021/01/21,648,Aqua,MODIS,70,6.03,D,Indonesia,Sumatera,Sumatera Barat,Pesisir Selatan,Silaut,Silaut,21,Pertanian Lainnya,55,79.70139075986529,59.94027815197306,66.08,High
-0.9992,100.4141,2021/01/21,649,Aqua,MODIS,26,6.03,D,Indonesia,Sumatera,Sumatera Barat,Kota Padang,Bungus Teluk Kabung,Bungus Timur,13,Tumbuhan Non-Hutan Lainnya,75,94.58138150973998,78.916276301948,42.00,Moderate
-0.9026,101.2191,2021/01/21,649,Aqua,MODIS,61,6.03,D,Indonesia,Sumatera,Sumatera Barat,Sijunjung,Tanjung Gadang,Langki,3,Formasi Hutan,50,55.192681160960845,51.03853623219217,57.07,Moderate
5.2237,97.067,2021/01/21,650,Aqua,MODIS,52,6.03,D,Indonesia,Sumatera,Aceh,Kota Lhokseumawe,Muara Satu,Meuria Paloh,31,Tambak,10,23.599763383898456,12.719952676779691,35.59,Low
-2.5805,106.0434,2021/01/23,340,Terra,MODIS,62,6.03,D,Indonesia,Sumatera,Kepulauan Bangka Belitung,Bangka Selatan,Payung,Pangkal Buluh,25,Non-Vegetasi Lainnya,15,100.0,32.0,49.49,Moderate
-2.572,106.0381,2021/01/23,340,Terra,MODIS,69,6.03,D,Indonesia,Sumatera,Kepulauan Bangka Belitung,Bangka Selatan,Payung,Pangkal Buluh,35,Sawit,65,61.78780638813221,64.35756127762644,68.69,High
